Дата,Смена,idMO,Гос. номер,Объект,Рейс №,Зона погрузки,Зона выгрузки,Погружен в,Выгружен в,Длительность, мин,Пробег, км,Объём, м3
2026-02-16,1 смена,784,С228МН72,ЕКБ общая граница,7,ЕКБ погрузка,ЕКБ выгрузка,15:21,15:36,73,,
2026-02-16,1 смена,784,С228МН72,ЕКБ общая граница,8,ЕКБ погрузка,ЕКБ выгрузка,17:11,17:25,45,,
2026-02-16,1 смена,784,С228МН72,ЕКБ общая граница,9,ЕКБ погрузка,ЕКБ выгрузка,18:04,18:25,55,,
2026-02-16,1 смена,5795,Х371РХ72,Тобольск общая зона,1,Тобольск Качипова,Тобольск выгрузка,09:21,09:51,43,,
2026-02-16,1 смена,5795,Х371РХ72,Тобольск общая зона,2,Тобольск Качипова,Тобольск выгрузка,10:22,10:49,41,,
2026-02-16,1 смена,5795,Х371РХ72,Тобольск общая зона,3,Тобольск Качипова,Тобольск выгрузка,11:22,11:48,43,,
2026-02-16,1 смена,5795,Х371РХ72,Тобольск общая зона,4,Тобольск Качипова,Тобольск выгрузка,12:23,14:03,120,,
2026-02-16,1 смена,5795,Х371РХ72,Тобольск общая зона,5,Тобольск Качипова,Тобольск выгрузка,14:34,15:00,39,,
2026-02-16,1 смена,5795,Х371РХ72,Тобольск общая зона,6,Тобольск Качипова,Тобольск выгрузка,15:30,16:01,44,,
2026-02-16,1 смена,5795,Х371РХ72,Тобольск общая зона,7,Тобольск Качипова,Тобольск выгрузка,16:30,18:13,115,,
2026-02-16,1 смена,6212,Р404МС186,ЕКБ общая граница,1,ЕКБ погрузка,ЕКБ выгрузка,09:13,09:33,87,,
2026-02-16,1 смена,6212,Р404МС186,ЕКБ общая граница,2,ЕКБ погрузка,ЕКБ выгрузка,10:10,10:30,51,,
2026-02-16,1 смена,6212,Р404МС186,ЕКБ общая граница,3,ЕКБ погрузка,ЕКБ выгрузка,11:21,11:43,67,,
2026-02-16,1 смена,6212,Р404МС186,ЕКБ общая граница,4,ЕКБ погрузка,ЕКБ выгрузка,12:02,12:22,33,,
2026-02-16,1 смена,6212,Р404МС186,ЕКБ общая граница,5,ЕКБ погрузка,ЕКБ выгрузка,14:34,14:56,143,,
2026-02-16,1 смена,6212,Р404МС186,ЕКБ общая граница,6,ЕКБ погрузка,ЕКБ выгрузка,15:45,16:14,72,,
2026-02-16,1 смена,6212,Р404МС186,ЕКБ общая граница,7,ЕКБ погрузка,ЕКБ выгрузка,16:51,17:20,60,,
2026-02-16,1 смена,6212,Р404МС186,ЕКБ общая граница,8,ЕКБ погрузка,ЕКБ выгрузка,17:56,18:26,61,,
2026-02-16,1 смена,5798,Х570РХ72,ЕКБ общая граница,1,ЕКБ погрузка,ЕКБ выгрузка,08:54,09:16,64,,
2026-02-16,1 смена,5798,Х570РХ72,ЕКБ общая граница,2,ЕКБ погрузка,ЕКБ выгрузка,09:46,10:11,49,,
2026-02-16,1 смена,5798,Х570РХ72,ЕКБ общая граница,3,ЕКБ погрузка,ЕКБ выгрузка,10:40,11:00,44,,
2026-02-16,1 смена,5798,Х570РХ72,ЕКБ общая граница,4,ЕКБ погрузка,ЕКБ выгрузка,11:22,11:43,37,,
2026-02-16,1 смена,5798,Х570РХ72,ЕКБ общая граница,5,ЕКБ погрузка,ЕКБ выгрузка,12:07,12:32,43,,
2026-02-16,1 смена,12,Р664КХ72,ЕКБ общая граница,1,ЕКБ погрузка,ЕКБ выгрузка,08:46,09:04,73,,
2026-02-16,1 смена,12,Р664КХ72,ЕКБ общая граница,2,ЕКБ погрузка,ЕКБ выгрузка,09:40,09:55,44,,
2026-02-16,1 смена,12,Р664КХ72,ЕКБ общая граница,3,ЕКБ погрузка,ЕКБ выгрузка,10:33,10:49,48,,
2026-02-16,1 смена,12,Р664КХ72,ЕКБ общая граница,4,ЕКБ погрузка,ЕКБ выгрузка,11:38,14:28,209,,
2026-02-16,1 смена,12,Р664КХ72,ЕКБ общая граница,5,ЕКБ погрузка,ЕКБ выгрузка,15:26,15:50,76,,
