Дата,Смена,idMO,Гос. номер,Объект,Зона,Тег,Вход,Выход,Время в зоне, мин
2026-02-16,1 смена,19,Р030МС72,Тобольск общая зона,Тобольск выгрузка,dt_unloading,07:30,09:37,127.1
2026-02-16,1 смена,19,Р030МС72,Тобольск общая зона,Тобольск общая зона,dt_boundary,07:30,19:30,720
2026-02-16,1 смена,19,Р030МС72,Тобольск общая зона,Тобольск выгрузка,dt_unloading,11:22,19:30,487.2
2026-02-16,1 смена,32,Р665КХ72,ЕКБ общая граница,ЕКБ общая граница,dt_boundary,07:59,18:34,635.1
2026-02-16,1 смена,32,Р665КХ72,ЕКБ общая граница,ЕКБ погрузка,dt_loading,08:06,08:53,47.2
2026-02-16,1 смена,32,Р665КХ72,ЕКБ общая граница,ЕКБ выгрузка,dt_unloading,09:03,09:16,13
2026-02-16,1 смена,32,Р665КХ72,ЕКБ общая граница,ЕКБ погрузка,dt_loading,09:23,09:50,27
2026-02-16,1 смена,32,Р665КХ72,ЕКБ общая граница,ЕКБ выгрузка,dt_unloading,09:55,10:12,16.5
2026-02-16,1 смена,32,Р665КХ72,ЕКБ общая граница,ЕКБ погрузка,dt_loading,10:19,10:39,20.7
2026-02-16,1 смена,32,Р665КХ72,ЕКБ общая граница,ЕКБ выгрузка,dt_unloading,10:46,11:00,14.5
2026-02-16,1 смена,32,Р665КХ72,ЕКБ общая граница,ЕКБ погрузка,dt_loading,11:06,11:26,19.7
2026-02-16,1 смена,32,Р665КХ72,ЕКБ общая граница,ЕКБ выгрузка,dt_unloading,11:32,11:45,13.1
2026-02-16,1 смена,32,Р665КХ72,ЕКБ общая граница,ЕКБ погрузка,dt_loading,11:51,12:07,15.6
2026-02-16,1 смена,32,Р665КХ72,ЕКБ общая граница,ЕКБ выгрузка,dt_unloading,12:14,12:35,21.1
2026-02-16,1 смена,32,Р665КХ72,ЕКБ общая граница,ЕКБ погрузка,dt_loading,14:04,15:06,62.1
2026-02-16,1 смена,32,Р665КХ72,ЕКБ общая граница,ЕКБ выгрузка,dt_unloading,15:12,15:24,11.5
