Дата,Смена,idMO,Гос. номер,Наименование,Объект,Вид работ,Моточасы,Движение, ч,Пробег, км,На объекте, мин,Рейсов,Объём факт, м3,КИП, %,Движение, %,Заявки
2026-02-16,2 смена,13,Т053СС72,Самосвал Volvo FM Truck 6х4,ЕКБ общая граница,delivery,10.86,4.78,170.09,615,8,0,90.53,43.99,121654
2026-02-16,2 смена,785,С141МН72,Самосвал Volvo FM Truck 6х4,ЕКБ общая граница,delivery,12,5.71,276,635,8,0,99.98,47.62,121613
2026-02-16,2 смена,779,С165МН72,Самосвал Volvo FM Truck 6х4,ЕКБ общая граница,delivery,11.42,5.05,171.75,639,8,0,95.19,44.19,121613
2026-02-16,2 смена,705,Т219ХА72,Самосвал MAN 9596-03-50 6х6,Тобольск общая зона,onsite,10.9,4.86,104.93,720,0,0,90.84,44.61,
2026-02-16,2 смена,706,Т220ХА72,Самосвал MAN 9596-03-50 6х6,Тобольск общая зона,onsite,9.42,5.15,80.89,720,0,0,78.54,54.61,
2026-02-16,2 смена,784,С228МН72,Самосвал Volvo FM Truck 6х4,ЕКБ общая граница,delivery,10.1,4.58,136.38,643,8,0,84.13,45.4,121654
2026-02-16,2 смена,786,С234МН72,Самосвал Volvo FM Truck 6х4,Тобольск общая зона,onsite,0.93,0.7,29.4,720,0,0,7.75,75.2,121348
2026-02-16,2 смена,782,С241МН72,Самосвал Volvo FM Truck 6х4,ЕКБ общая граница,unknown,4.81,3.98,261.09,8,0,0,40.11,82.7,121654
2026-02-16,2 смена,1641,С243ОХ72,Самосвал MAN БМЦ-57.6 6х6,ЕКБ общая граница,onsite,11.93,2.75,37.19,687,0,0,99.39,23.02,
2026-02-16,2 смена,5796,Х339РХ72,Самосвал SHACMAN 6x4,Тобольск общая зона,onsite,0.42,0.01,0.06,59,0,0,3.48,1.46,
2026-02-16,2 смена,5795,Х371РХ72,Самосвал SHACMAN 6x4,Тобольск общая зона,onsite,12,4.14,89.04,720,0,0,100,34.53,
2026-02-16,2 смена,5794,Х383РХ72,Самосвал SHACMAN 6x4,Тобольск общая зона,onsite,0,0,0,0,0,0,0.03,0,
2026-02-16,2 смена,6212,Р404МС186,Самосвал SANY 6x4,ЕКБ общая граница,delivery,10.1,6.05,164.61,601,7,0,84.14,59.9,121654
2026-02-16,2 смена,5798,Х570РХ72,Самосвал SHACMAN 6x4,ЕКБ общая граница,delivery,11.96,3.33,71.68,718,4,0,99.7,27.86,
2026-02-16,2 смена,32,Р665КХ72,Самосвал Scania P400-CB 6х4,ЕКБ общая граница,delivery,11.02,5.57,191.69,598,9,0,91.86,50.52,121655
2026-02-16,2 смена,1562,С840НС72,Самосвал Volvo FM Truck 6х4,Тобольск общая зона,delivery,10.74,6.5,128,719,6,0,89.53,60.55,121613
2026-02-16,2 смена,1582,С842НС72,Самосвал Volvo FM Truck 6х4,ЕКБ общая граница,delivery,10.26,4.46,151.81,618,7,0,85.46,43.44,121654
2026-02-16,2 смена,6216,Р877МР186,Самосвал SANY 6x4,ЕКБ общая граница,delivery,10.59,5.33,179.77,615,8,0,88.26,50.32,121654
2026-02-16,2 смена,1561,С880НС72,Самосвал Volvo FM Truck 6х4,Тобольск общая зона,onsite,6.55,1.95,66.31,720,0,0,54.6,29.7,121615
2026-02-16,2 смена,1563,С881НС72,Самосвал Volvo FM Truck 6х4,Тобольск общая зона,delivery,10.26,5.91,285.32,720,6,0,85.47,57.66,121613
2026-02-16,2 смена,6229,Р886МР186,Самосвал SANY 6x4,ЕКБ общая граница,delivery,9.76,4.66,162.59,585,7,0,81.3,47.75,121654
2026-02-16,2 смена,1584,С886НС72,Самосвал Volvo FM Truck 6х4,ЕКБ общая граница,delivery,10.81,5.33,172,623,8,0,90.09,49.26,121613
2026-02-16,2 смена,1585,С887НС72,Самосвал Volvo FM Truck 6х4,Тобольск общая зона,delivery,9.88,5.91,324.94,719,6,0,82.33,59.79,121613
2026-02-16,2 смена,6790,А927ОХ172,Самосвал MERCEDES benz actros 4141AK 8x8,Тобольск общая зона,unknown,0,0,0,716,0,0,0,0,
2026-02-17,1 смена,6099,А021АТ172,Самосвал SITRACK C7H,Тобольск общая зона,delivery,10.93,6.29,319.31,720,5,0,91.09,57.58,
2026-02-17,1 смена,33,Р027МС72,Самосвал Volvo FM Truck 6х4,ЕКБ общая граница,delivery,5.21,2.38,71.31,281,4,0,43.39,45.77,121655
2026-02-17,1 смена,15,Р029МС72,Самосвал Volvo FM Truck 6х4,Тобольск общая зона,delivery,5.6,3.41,188.91,720,2,0,46.67,60.88,
2026-02-17,1 смена,19,Р030МС72,Самосвал Volvo FM Truck 6х4,Тобольск общая зона,onsite,8.32,2.48,45.5,720,0,0,69.37,29.75,121613
2026-02-17,1 смена,13,Т053СС72,Самосвал Volvo FM Truck 6х4,ЕКБ общая граница,delivery,10.65,5.78,179.11,646,9,0,88.73,54.29,121654
2026-02-17,1 смена,785,С141МН72,Самосвал Volvo FM Truck 6х4,ЕКБ общая граница,delivery,11.28,6.3,244,635,9,0,94.04,55.87,121613
