vehicle_id,report_date,shift,vehicle_model,department_unit,stay_h,engine_h,idle_h,fuel_l,rate_fact,norm,load_pct,util_pct
0139ТО72,2026-02-06,День,Кран гусеничный IHI CCH-700,СМУ Амурская область,11.47,11.47,0.00,33.0,2.88,4.0,100.0,100.0
0139ТО72,2026-02-07,Вечер,Кран гусеничный IHI CCH-700,СМУ Амурская область,12.00,12.00,0.00,26.7,2.23,4.0,100.0,100.0
0139ТО72,2026-02-07,День,Кран гусеничный IHI CCH-700,СМУ Амурская область,12.00,12.00,0.00,35.7,2.98,4.0,100.0,100.0
0139ТО72,2026-02-08,Вечер,Кран гусеничный IHI CCH-700,СМУ Амурская область,12.00,12.00,0.00,32.7,2.73,4.0,100.0,100.0
0139ТО72,2026-02-08,День,Кран гусеничный IHI CCH-700,СМУ Амурская область,11.99,11.99,0.00,30.2,2.52,4.0,100.0,100.0
0139ТО72,2026-02-09,Вечер,Кран гусеничный IHI CCH-700,СМУ Амурская область,11.99,11.99,0.00,36.4,3.04,4.0,100.0,100.0
0139ТО72,2026-02-09,День,Кран гусеничный IHI CCH-700,СМУ Амурская область,11.99,7.95,4.04,22.3,2.81,4.0,72.3,66.3
0139ТО72,2026-02-10,Вечер,Кран гусеничный IHI CCH-700,СМУ Амурская область,0.50,0.50,0.00,0.9,1.82,4.0,100.0,100.0
0139ТО72,2026-02-10,День,Кран гусеничный IHI CCH-700,СМУ Амурская область,0.50,0.50,0.00,0.2,0.40,4.0,100.0,100.0
0199ОЕ72,2026-02-04,Вечер,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,11.99,11.16,0.82,65.1,5.83,10.0,100.0,93.1
0199ОЕ72,2026-02-04,День,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,12.00,10.61,1.39,71.4,6.73,10.0,96.4,88.4
0199ОЕ72,2026-02-05,Вечер,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,12.00,10.93,1.07,62.1,5.68,10.0,99.4,91.1
0199ОЕ72,2026-02-05,День,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,12.00,9.26,2.74,62.4,6.74,10.0,84.2,77.2
0199ОЕ72,2026-02-06,Вечер,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,11.46,9.85,1.61,46.2,4.69,10.0,93.7,85.9
0199ОЕ72,2026-02-06,День,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,0.50,0.50,0.00,-0.6,-1.21,10.0,100.0,100.0
0199ОЕ72,2026-02-07,Вечер,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,11.99,11.99,0.00,87.8,7.32,10.0,100.0,100.0
0199ОЕ72,2026-02-07,День,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,11.99,9.33,2.67,73.6,7.89,10.0,84.8,77.8
0199ОЕ72,2026-02-08,Вечер,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,11.99,11.99,0.00,73.2,6.11,10.0,100.0,100.0
0199ОЕ72,2026-02-08,День,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,12.00,12.00,0.00,74.4,6.20,10.0,100.0,100.0
0199ОЕ72,2026-02-09,Вечер,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,12.00,10.98,1.02,37.3,3.40,10.0,99.8,91.5
0199ОЕ72,2026-02-09,День,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,12.00,10.18,1.82,80.6,7.92,10.0,92.6,84.9
0199ОЕ72,2026-02-10,Вечер,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,11.99,9.57,2.42,54.2,5.66,10.0,87.1,79.8
0199ОЕ72,2026-02-10,День,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,11.99,9.00,3.00,57.1,6.35,10.0,81.8,75.0
0199ОЕ72,2026-02-11,День,Кран гусеничный Sennebogen 5500R,СМУ г. Омск,0.48,0.48,0.00,3.0,6.29,10.0,100.0,100.0
0451ОЕ72,2026-02-04,Вечер,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,11.98,2.09,9.90,0.0,0.00,9.0,19.0,17.4
0451ОЕ72,2026-02-04,День,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,12.00,7.89,4.11,0.0,0.00,9.0,71.7,65.7
0451ОЕ72,2026-02-05,Вечер,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,0.49,0.41,0.08,2.0,4.86,9.0,91.6,84.0
0451ОЕ72,2026-02-05,День,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,11.98,7.67,4.32,27.2,3.55,9.0,69.8,64.0
0451ОЕ72,2026-02-06,Вечер,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,11.98,2.09,9.89,0.0,0.00,9.0,19.0,17.5
0451ОЕ72,2026-02-06,День,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,11.49,7.73,3.76,11.8,1.53,9.0,73.4,67.3
0451ОЕ72,2026-02-07,Вечер,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,11.97,2.13,9.84,0.0,0.00,9.0,19.4,17.8
0451ОЕ72,2026-02-07,День,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,11.97,7.31,4.66,0.0,0.00,9.0,66.6,61.1
0451ОЕ72,2026-02-08,Вечер,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,11.96,5.01,6.95,0.0,0.00,9.0,45.7,41.9
0451ОЕ72,2026-02-08,День,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,11.99,7.93,4.06,0.0,0.00,9.0,72.2,66.2
0451ОЕ72,2026-02-09,Вечер,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,12.00,8.90,3.10,0.0,0.00,9.0,80.9,74.1
0451ОЕ72,2026-02-09,День,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,11.97,8.30,3.68,0.0,0.00,9.0,75.6,69.3
0451ОЕ72,2026-02-10,Вечер,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,0.49,0.18,0.31,0.0,0.00,9.0,40.6,37.2
0451ОЕ72,2026-02-10,День,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,11.94,6.89,5.05,0.0,0.00,9.0,62.9,57.7
0451ОЕ72,2026-02-11,День,Экскаватор-погрузчик CASE 695ST,СМУ ВСЖМ,0.45,0.45,0.00,0.0,0.00,9.0,100.0,100.0
0456ОК72,2026-02-04,Вечер,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,11.94,10.98,0.96,51.6,4.70,5.6,100.0,92.0
0456ОК72,2026-02-04,День,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,11.95,11.03,0.92,38.2,3.46,5.6,100.0,92.3
0456ОК72,2026-02-05,Вечер,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,11.99,10.83,1.15,46.4,4.28,5.6,98.6,90.4
0456ОК72,2026-02-05,День,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,11.99,8.36,3.63,44.8,5.36,5.6,76.0,69.7
0456ОК72,2026-02-06,Вечер,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,11.99,10.22,1.77,44.6,4.36,5.6,93.0,85.3
0456ОК72,2026-02-06,День,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,11.99,9.12,2.87,49.1,5.39,5.6,83.0,76.1
0456ОК72,2026-02-07,Вечер,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,11.98,10.24,1.74,36.4,3.56,5.6,93.2,85.4
0456ОК72,2026-02-07,День,Экскаватор-Погрузчик MST M644S,СМУ г. Тобольск,11.99,9.75,2.24,42.2,4.33,5.6,88.7,81.3
