Тип ТС,Гос. №,Филиал,"Норма расхода, л/час"
Экскаватор-погрузчик,0451ое72,МО36,9
Экскаватор-погрузчик,7388АР28,БСМ-мост,12.5
Экскаватор-погрузчик,7428АР28,БСМ-мост,12.5
Экскаватор-погрузчик,3219ХА27,БСМ-мост,12.5
Экскаватор-погрузчик,1702ов72,ДСУ,9
Экскаватор-погрузчик,0457ок72,ДСУ,5.6
Экскаватор-погрузчик,0456ок72,ДСУ,5.6
Экскаватор-погрузчик,9990хо50,МО15,6.1
Экскаватор-погрузчик,3806хо50,МО15,9
Экскаватор-погрузчик,9831ХО50,МО15,9
Экскаватор-погрузчик,3101ОЕ72,МО36,6.1
Экскаватор-погрузчик,1453тк72,МО36,6.1
Экскаватор-погрузчик,7953ое72,МО36,6.1
Экскаватор-погрузчик,3366ОВ72,МО36,5.6
Экскаватор-погрузчик,7649оа72,МО36,9
Экскаватор-погрузчик,3615тр72,МО87,5
Экскаватор-погрузчик,7246ов72,МО87,9
"Краны гусеничные, г/п 100",5598ое72,СКТ,8
"Краны гусеничные, г/п 70",5516ту72,МО36,4
"Краны автомобильные, г/п 32",х209ео72,МО36,8.8
"Краны автомобильные, г/п 150",Р362СХ186,БСМ,10.6
"Краны пневмоколёсные, г/п 55",0813ОК72,БСМ,8
"Краны пневмоколёсные, г/п 50",7285ОЕ72,МО36,7
"Краны автомобильные, г/п 25",у363кт72,МО36,8.8
"Краны автомобильные, г/п 25",Р526СН186,БСМ,8.8
"Краны автомобильные, г/п 100",О601МК797,БСМ,7
"Краны пневмоколёсные, г/п 80",2794ое72,МО36,10
"Краны автомобильные, г/п 25",а134сс172,МО36,8.8
"Краны автомобильные, г/п 25",Р520РХ186,БСМ,8.8
"Краны автомобильные, г/п 40",у334ту750,МО15,9.4
"Краны гусеничные, г/п 100",9256тк72,МО36,8.5
"Краны гусеничные, г/п 100",6773та72,МО36,8.5
"Краны пневмоколёсные, г/п 80",2779ое72,МО36,10
"Краны гусеничные, г/п 70",7812оа72,МО36,4
"Краны автомобильные, г/п 32",Р162СХ186,БСМ,8.8
"Краны автомобильные, г/п 25",х207ео72,МО36,17.6
"Краны гусеничные, г/п 75",7503АР28,БСМ,8.8
"Краны гусеничные, г/п 75",7524АР28,БСМ,8.8
"Краны гусеничные, г/п 70",0139то72,МО36,4
